id,CharacterChoice_Influence_Age,CharacterChoice_Influence_AgeLastChangedAt,CharacterChoice_Influence_Appearance,CharacterChoice_Influence_AppearanceLastChangedAt,CharacterChoice_Influence_Hobbies,CharacterChoice_Influence_HobbiesLastChangedAt,CharacterChoice_Influence_Job,CharacterChoice_Influence_JobLastChangedAt,CharacterChoice_Similarity_Similar_age,CharacterChoice_Similarity_Similar_ageLastChangedAt,CharacterChoice_Similarity_Similar_appearance,CharacterChoice_Similarity_Similar_appearanceLastChangedAt,CharacterChoice_Similarity_Similar_hobbies,CharacterChoice_Similarity_Similar_hobbiesLastChangedAt,CharacterChoice_Similarity_Similar_job,CharacterChoice_Similarity_Similar_jobLastChangedAt,EndDatingAppSurvey_AlgorithmShouldUseRecommend-Age,EndDatingAppSurvey_AlgorithmShouldUseRecommend-AgeLastChangedAt,EndDatingAppSurvey_AlgorithmShouldUseRecommend-Appearance,EndDatingAppSurvey_AlgorithmShouldUseRecommend-AppearanceLastChangedAt,EndDatingAppSurvey_AlgorithmShouldUseRecommend-Education Level,EndDatingAppSurvey_AlgorithmShouldUseRecommend-Education LevelLastChangedAt,EndDatingAppSurvey_AlgorithmShouldUseRecommend-Ethnicity,EndDatingAppSurvey_AlgorithmShouldUseRecommend-EthnicityLastChangedAt,EndDatingAppSurvey_AlgorithmShouldUseRecommend-Hobbies,EndDatingAppSurvey_AlgorithmShouldUseRecommend-HobbiesLastChangedAt,EndDatingAppSurvey_AlgorithmShouldUseRecommend-Physical Health,EndDatingAppSurvey_AlgorithmShouldUseRecommend-Physical HealthLastChangedAt,EndDatingAppSurvey_AlgorithmShouldUseRecommend-Profession,EndDatingAppSurvey_AlgorithmShouldUseRecommend-ProfessionLastChangedAt,EndDatingAppSurvey_PersonalInfluenceFactorsFactor-Age,EndDatingAppSurvey_PersonalInfluenceFactorsFactor-AgeLastChangedAt,EndDatingAppSurvey_PersonalInfluenceFactorsFactor-Appearance,EndDatingAppSurvey_PersonalInfluenceFactorsFactor-AppearanceLastChangedAt,EndDatingAppSurvey_PersonalInfluenceFactorsFactor-Education Level,EndDatingAppSurvey_PersonalInfluenceFactorsFactor-Education LevelLastChangedAt,EndDatingAppSurvey_PersonalInfluenceFactorsFactor-Ethnicity,EndDatingAppSurvey_PersonalInfluenceFactorsFactor-EthnicityLastChangedAt,EndDatingAppSurvey_PersonalInfluenceFactorsFactor-Hobbies,EndDatingAppSurvey_PersonalInfluenceFactorsFactor-HobbiesLastChangedAt,EndDatingAppSurvey_PersonalInfluenceFactorsFactor-Physical Health,EndDatingAppSurvey_PersonalInfluenceFactorsFactor-Physical HealthLastChangedAt,EndDatingAppSurvey_PersonalInfluenceFactorsFactor-Profession,EndDatingAppSurvey_PersonalInfluenceFactorsFactor-ProfessionLastChangedAt,EndDatingAppSurvey_activeOnDatingApps,EndDatingAppSurvey_activeOnDatingAppsLastChangedAt,EndDatingAppSurvey_datingAppsUsed,EndDatingAppSurvey_datingAppsUsedLastChangedAt,EndDatingAppSurvey_frequencyDatingAppUsage,EndDatingAppSurvey_frequencyDatingAppUsageLastChangedAt,EndRecSystemSurvey_additionalComments,EndRecSystemSurvey_additionalCommentsLastChangedAt,EndRecSystemSurvey_algorithmLearntAttribute-Age,EndRecSystemSurvey_algorithmLearntAttribute-AgeLastChangedAt,EndRecSystemSurvey_algorithmLearntAttribute-Appearance,EndRecSystemSurvey_algorithmLearntAttribute-AppearanceLastChangedAt,EndRecSystemSurvey_algorithmLearntAttribute-Hobbies,EndRecSystemSurvey_algorithmLearntAttribute-HobbiesLastChangedAt,EndRecSystemSurvey_algorithmLearntAttribute-Job,EndRecSystemSurvey_algorithmLearntAttribute-JobLastChangedAt,EndRecSystemSurvey_recommendationDiversity,EndRecSystemSurvey_recommendationDiversityLastChangedAt,EndRecSystemSurvey_recommendationQuality,EndRecSystemSurvey_recommendationQualityLastChangedAt,EndRecSystemSurvey_systemVariety,EndRecSystemSurvey_systemVarietyLastChangedAt,SwipeProfileChoiceSurvey_AttributeAge,SwipeProfileChoiceSurvey_AttributeAgeLastChangedAt,SwipeProfileChoiceSurvey_AttributeAppearance,SwipeProfileChoiceSurvey_AttributeAppearanceLastChangedAt,SwipeProfileChoiceSurvey_AttributeHobbies,SwipeProfileChoiceSurvey_AttributeHobbiesLastChangedAt,SwipeProfileChoiceSurvey_AttributeJob,SwipeProfileChoiceSurvey_AttributeJobLastChangedAt,SwipeProfileRecommendationSurvey_Improvement,SwipeProfileRecommendationSurvey_ImprovementLastChangedAt,SwipeProfileRecommendationSurvey_Variety,SwipeProfileRecommendationSurvey_VarietyLastChangedAt,batchID,batchIDLastChangedAt,chosenCharacterBeard,chosenCharacterBeardLastChangedAt,chosenCharacterGlasses,chosenCharacterGlassesLastChangedAt,chosenCharacterHair,chosenCharacterHairLastChangedAt,chosenCharacterHobby,chosenCharacterHobbyLastChangedAt,chosenProfile,chosenProfileLastChangedAt,dislikedProfile,dislikedProfileLastChangedAt,gameID,gameIDLastChangedAt,likedProfile,likedProfileLastChangedAt,playerID,playerIDLastChangedAt,roundID,roundIDLastChangedAt
01J0JKFDWNJW3FGDANFXBXPEDQ,notInfluential,2024-06-17T09:02:25.021193+01:00,notInfluential,2024-06-17T09:02:25.020311+01:00,notInfluential,2024-06-17T09:02:25.022324+01:00,notInfluential,2024-06-17T09:02:25.021891+01:00,notSimilar,2024-06-17T09:02:25.016987+01:00,notSimilar,2024-06-17T09:02:25.016212+01:00,notSimilar,2024-06-17T09:02:25.019493+01:00,notSimilar,2024-06-17T09:02:25.018444+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01J0JKF4T2YA5FFV2YRNHCT8K7,2024-06-17T09:02:06.869183+01:00,Yes,2024-06-17T09:02:16.461321+01:00,No,2024-06-17T09:02:16.460811+01:00,Long,2024-06-17T09:02:16.460142+01:00,Music,2024-06-17T09:02:16.461837+01:00,105,2024-06-17T09:02:25.023263+01:00,,,01J0JKF4TENJBC51WBN7DH2E5M,2024-06-17T09:02:06.869183+01:00,,,01J0JKFB83WSXXETQ1YZCMRNS0,2024-06-17T09:02:06.869183+01:00,01J0JKFD85X8JYF35D002XS8PJ,2024-06-17T09:02:06.869183+01:00
01J0GT578YWZW3SEFY6CSDTQGZ,somewhatInfluential,2024-06-16T16:20:42.45009+01:00,veryInfluential,2024-06-16T16:20:42.449644+01:00,somewhatInfluential,2024-06-16T16:20:42.450392+01:00,notInfluential,2024-06-16T16:20:42.450656+01:00,somewhatSimilar,2024-06-16T16:20:42.446756+01:00,notSimilar,2024-06-16T16:20:42.446216+01:00,somewhatSimilar,2024-06-16T16:20:42.447139+01:00,verySimilar,2024-06-16T16:20:42.447666+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01J0GT4XN88509MV8SRBC8T9VE,2024-06-16T16:20:23.583007+01:00,No,2024-06-16T16:20:32.489322+01:00,No,2024-06-16T16:20:32.488658+01:00,Short,2024-06-16T16:20:32.489025+01:00,Arts,2024-06-16T16:20:32.48989+01:00,219,2024-06-16T16:20:42.450936+01:00,,,01J0GT4XNJSMG4Q5H9YJ4Y2SGP,2024-06-16T16:20:23.583007+01:00,,,01J0GT5482ZQB87AEW2V5C4B2N,2024-06-16T16:20:23.583007+01:00,01J0GT56MJ148KMT33PATECK4E,2024-06-16T16:20:23.583007+01:00
01J0GT5SQ859BXQ6B6E1PX6AXP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01J0GT4XN88509MV8SRBC8T9VE,2024-06-16T16:20:42.472729+01:00,,,,,,,,,,,44,2024-06-16T16:23:01.58025+01:00,01J0GT4XNJSMG4Q5H9YJ4Y2SGP,2024-06-16T16:20:42.472729+01:00,47,2024-06-16T16:23:01.580583+01:00,01J0GT5482ZQB87AEW2V5C4B2N,2024-06-16T16:20:42.472729+01:00,01J0GT56MH4QE84J6XED7T2QMW,2024-06-16T16:20:42.472729+01:00
01J0JJSTEK1GPFGJ3B26YFCGPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,same,2024-06-17T08:59:50.935198+01:00,same,2024-06-17T08:59:50.93458+01:00,same,2024-06-17T08:59:50.935643+01:00,same,2024-06-17T08:59:50.936216+01:00,,,,,01J0JJRRXFWJWPDEQQN348N10J,2024-06-17T08:50:18.835573+01:00,,,,,,,,,,,70,2024-06-17T09:01:39.238906+01:00,01J0JJRRXTQZ2XNT1W96649X86,2024-06-17T08:50:18.835573+01:00,59,2024-06-17T09:01:39.236746+01:00,01J0JJS035KS4ZH5X2JA8EMMCH,2024-06-17T08:50:18.835573+01:00,01J0JJS2HNQ57T97DJF53PFRMT,2024-06-17T08:50:18.835573+01:00
01J0JKRFXB0B7CFHHWCPK8ET9A,somewhatInfluential,2024-06-17T09:07:22.499908+01:00,notInfluential,2024-06-17T09:07:22.499342+01:00,somewhatInfluential,2024-06-17T09:07:22.501316+01:00,somewhatInfluential,2024-06-17T09:07:22.501678+01:00,somewhatSimilar,2024-06-17T09:07:22.496797+01:00,notSimilar,2024-06-17T09:07:22.497658+01:00,somewhatSimilar,2024-06-17T09:07:22.498756+01:00,notSimilar,2024-06-17T09:07:22.498227+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01J0JKQTAETAND41JX47GTNEPZ,2024-06-17T09:07:03.851947+01:00,No,2024-06-17T09:07:12.894348+01:00,No,2024-06-17T09:07:12.893011+01:00,Long,2024-06-17T09:07:12.893918+01:00,Music,2024-06-17T09:07:12.894798+01:00,239,2024-06-17T09:07:22.500853+01:00,,,01J0JKQTAXEMP18WDPYZAAS6R5,2024-06-17T09:07:03.851947+01:00,,,01J0JKRCT0VGDWDAC9Q7D9GJDM,2024-06-17T09:07:03.851947+01:00,01J0JKRF7ENZSHHFWJ4WRKNYEK,2024-06-17T09:07:03.851947+01:00
01J0G9PJF92YMGCERKK62WQ6SR,veryInfluential,2024-06-16T11:33:02.413785+01:00,somewhatInfluential,2024-06-16T11:33:02.412734+01:00,somewhatInfluential,2024-06-16T11:33:02.414682+01:00,notInfluential,2024-06-16T11:33:02.414974+01:00,somewhatSimilar,2024-06-16T11:33:02.410969+01:00,somewhatSimilar,2024-06-16T11:33:02.411286+01:00,somewhatSimilar,2024-06-16T11:33:02.411583+01:00,somewhatSimilar,2024-06-16T11:33:02.412178+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01J0G9H7A0H80KPKPTZ4R97X9G,2024-06-16T11:32:46.313763+01:00,Yes,2024-06-16T11:32:53.307921+01:00,Yes,2024-06-16T11:32:53.307358+01:00,Short,2024-06-16T11:32:53.307619+01:00,Music,2024-06-16T11:32:53.308142+01:00,9,2024-06-16T11:33:02.415411+01:00,,,01J0G9H7AH3167FT7HBTVAC08A,2024-06-16T11:32:46.313763+01:00,,,01J0G9PF9WABF1T9GK417HCRDY,2024-06-16T11:32:46.313763+01:00,01J0G9PHWZXVFCZDTXX5SZBH0E,2024-06-16T11:32:46.313763+01:00
01J0GTBSWZEDT304418Q3XAK8R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chosenBetter,2024-06-16T16:35:03.044422+01:00,chosenBetter,2024-06-16T16:35:03.044006+01:00,same,2024-06-16T16:32:51.613532+01:00,same,2024-06-16T16:32:51.613289+01:00,notSure,2024-06-16T16:32:34.735233+01:00,tooMuch,2024-06-16T16:32:15.245487+01:00,01J0GTA7C8QY0WQKVA4PWZQSX9,2024-06-16T16:23:59.263765+01:00,,,,,,,,,,,77,2024-06-16T16:37:04.251905+01:00,01J0GTA7CJQN29NZV2TTV3GBZC,2024-06-16T16:23:59.263765+01:00,73,2024-06-16T16:37:04.249193+01:00,01J0GTAZ9EH76Q5X74HCYT7ATQ,2024-06-16T16:23:59.263765+01:00,01J0GTB159PJ5CR41CKFWMCC8A,2024-06-16T16:23:59.263765+01:00
01J0JKS24TC0S1HYKW5WSVFJDQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,same,2024-06-17T09:13:59.694839+01:00,same,2024-06-17T09:13:59.694138+01:00,same,2024-06-17T09:13:59.695363+01:00,same,2024-06-17T09:13:59.695765+01:00,worse,2024-06-17T09:12:11.830755+01:00,tooMuch,2024-06-17T09:14:16.281999+01:00,01J0JKQTAETAND41JX47GTNEPZ,2024-06-17T09:07:22.522733+01:00,,,,,,,,,,,3,2024-06-17T09:14:32.654711+01:00,01J0JKQTAXEMP18WDPYZAAS6R5,2024-06-17T09:07:22.522733+01:00,2,2024-06-17T09:14:32.65416+01:00,01J0JKRCT0VGDWDAC9Q7D9GJDM,2024-06-17T09:07:22.522733+01:00,01J0JKRF7F23TPZY704HPD51F7,2024-06-17T09:07:22.522733+01:00
01J0G9HM4Z7QXYER8K739KRV6Z,notInfluential,2024-06-16T11:30:20.539982+01:00,somewhatInfluential,2024-06-16T11:30:20.5365+01:00,notInfluential,2024-06-16T11:30:20.538183+01:00,somewhatInfluential,2024-06-16T11:30:20.538463+01:00,somewhatSimilar,2024-06-16T11:30:20.533198+01:00,somewhatSimilar,2024-06-16T11:30:20.533449+01:00,verySimilar,2024-06-16T11:30:20.533965+01:00,somewhatSimilar,2024-06-16T11:30:20.535122+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01J0G9H7A0H80KPKPTZ4R97X9G,2024-06-16T11:30:04.191192+01:00,No,2024-06-16T11:30:10.924167+01:00,No,2024-06-16T11:30:10.923528+01:00,Long,2024-06-16T11:30:10.92372+01:00,Music,2024-06-16T11:30:10.924393+01:00,238,2024-06-16T11:30:20.538936+01:00,,,01J0G9H7AH3167FT7HC9PGJVC9,2024-06-16T11:30:04.191192+01:00,,,01J0G9HGNN0N9K60S9E262AQRT,2024-06-16T11:30:04.191192+01:00,01J0G9HKHVW5NE75112FYQG3W1,2024-06-16T11:30:04.191192+01:00
01J0GTB1SGC92RACPSA9H3PMWT,notInfluential,2024-06-16T16:23:59.242555+01:00,notInfluential,2024-06-16T16:23:59.241974+01:00,notInfluential,2024-06-16T16:23:59.244396+01:00,notInfluential,2024-06-16T16:23:59.245135+01:00,notSimilar,2024-06-16T16:23:59.240553+01:00,notSimilar,2024-06-16T16:23:59.24121+01:00,notSimilar,2024-06-16T16:23:59.241576+01:00,notSimilar,2024-06-16T16:23:59.242296+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01J0GTA7C8QY0WQKVA4PWZQSX9,2024-06-16T16:23:34.576865+01:00,No,2024-06-16T16:23:43.525683+01:00,Yes,2024-06-16T16:23:43.524437+01:00,Short,2024-06-16T16:23:43.524874+01:00,Music,2024-06-16T16:23:43.525216+01:00,140,2024-06-16T16:23:59.245815+01:00,,,01J0GTA7CJQN29NZV2TTV3GBZC,2024-06-16T16:23:34.576865+01:00,,,01J0GTAZ9EH76Q5X74HCYT7ATQ,2024-06-16T16:23:34.576865+01:00,01J0GTB158624J3H4K6R2CTASN,2024-06-16T16:23:34.576865+01:00
01J0GVBGJ9HRKGMT8CR3V2B4JM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,same,2024-06-16T16:41:55.35145+01:00,same,2024-06-16T16:41:55.35025+01:00,same,2024-06-16T16:41:55.35099+01:00,same,2024-06-16T16:41:55.352018+01:00,worse,2024-06-16T16:42:07.016799+01:00,tooMuch,2024-06-16T16:42:07.017777+01:00,01J0GVAJ9HHRNRJ3R0F5VQ8W77,2024-06-16T16:41:18.281545+01:00,,,,,,,,,,,51,2024-06-16T16:44:03.090493+01:00,01J0GVAJ9VZH5FTVQNCK6GA41M,2024-06-16T16:41:18.281545+01:00,49,2024-06-16T16:44:03.0902+01:00,01J0GVASJQRD6JX90W26HZTGJ2,2024-06-16T16:41:18.281545+01:00,01J0GVAVX4SHCWMWSHR0TDKB9F,2024-06-16T16:41:18.281545+01:00
01J0JJS3BNV9K8CQWTVENY7S16,veryInfluential,2024-06-17T08:50:18.810771+01:00,somewhatInfluential,2024-06-17T08:50:18.809468+01:00,notInfluential,2024-06-17T08:50:18.811329+01:00,somewhatInfluential,2024-06-17T08:50:18.811718+01:00,somewhatSimilar,2024-06-17T08:50:18.807797+01:00,notSimilar,2024-06-17T08:50:18.806649+01:00,somewhatSimilar,2024-06-17T08:50:18.808639+01:00,somewhatSimilar,2024-06-17T08:50:18.810169+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01J0JJRRXFWJWPDEQQN348N10J,2024-06-17T08:49:55.189093+01:00,Yes,2024-06-17T08:50:09.221331+01:00,Yes,2024-06-17T08:50:09.219953+01:00,Short,2024-06-17T08:50:09.220505+01:00,Arts,2024-06-17T08:50:09.220914+01:00,31,2024-06-17T08:50:18.812633+01:00,,,01J0JJRRXTQZ2XNT1W96649X86,2024-06-17T08:49:55.189093+01:00,,,01J0JJS035KS4ZH5X2JA8EMMCH,2024-06-17T08:49:55.189093+01:00,01J0JJS2HMRMMEE6JM03YA5KD6,2024-06-17T08:49:55.189093+01:00
01J0JM7F290MH5WBTDDT4VRCNQ,veryInfluential,2024-06-17T09:15:37.362802+01:00,somewhatInfluential,2024-06-17T09:15:37.364114+01:00,somewhatInfluential,2024-06-17T09:15:37.365368+01:00,veryInfluential,2024-06-17T09:15:37.364853+01:00,somewhatSimilar,2024-06-17T09:15:37.361529+01:00,verySimilar,2024-06-17T09:15:37.36066+01:00,notSimilar,2024-06-17T09:15:37.363477+01:00,somewhatSimilar,2024-06-17T09:15:37.362197+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01J0JKQTAETAND41JX47GTNEPZ,2024-06-17T09:15:14.505826+01:00,Yes,2024-06-17T09:15:24.083862+01:00,Yes,2024-06-17T09:15:24.083422+01:00,Short,2024-06-17T09:15:24.082826+01:00,Sport,2024-06-17T09:15:24.084323+01:00,7,2024-06-17T09:15:37.366396+01:00,,,01J0JKQTAXEMP18WDPZ76XGYJP,2024-06-17T09:15:14.505826+01:00,,,01J0JM7BYADZ0H4ZD8K8HCDKMM,2024-06-17T09:15:14.505826+01:00,01J0JM7ECV8RX8VVEY1XA4DJK8,2024-06-17T09:15:14.505826+01:00
01J0GV7KBEFP45X756Y3BKZ6GQ,somewhatInfluential,2024-06-16T16:39:28.686288+01:00,veryInfluential,2024-06-16T16:39:28.685824+01:00,somewhatInfluential,2024-06-16T16:39:28.687275+01:00,veryInfluential,2024-06-16T16:39:28.68827+01:00,somewhatSimilar,2024-06-16T16:39:28.68365+01:00,somewhatSimilar,2024-06-16T16:39:28.68294+01:00,somewhatSimilar,2024-06-16T16:39:28.684273+01:00,somewhatSimilar,2024-06-16T16:39:28.684797+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01J0GV7A712TQ3BG5MDAMKTA0C,2024-06-16T16:39:10.062354+01:00,No,2024-06-16T16:39:18.347282+01:00,Yes,2024-06-16T16:39:18.346456+01:00,Short,2024-06-16T16:39:18.34691+01:00,Arts,2024-06-16T16:39:18.347626+01:00,159,2024-06-16T16:39:28.687698+01:00,,,01J0GV7A7FZM4QB8ERJ9JXP9QY,2024-06-16T16:39:10.062354+01:00,,,01J0GV7GRZ6WWCXDDW2VCPBM65,2024-06-16T16:39:10.062354+01:00,01J0GV7JQAR0XX3KD6HBCFVGVX,2024-06-16T16:39:10.062354+01:00
01J0G9NHV5GH47NYR4V5T3KTJA,,,,,,,,,,,,,,,,,Should maybe use,2024-06-16T11:32:32.58217+01:00,Should definitely use,2024-06-16T11:32:32.581983+01:00,Should maybe use,2024-06-16T11:32:32.584431+01:00,Should maybe not use,2024-06-16T11:32:32.584846+01:00,Should maybe use,2024-06-16T11:32:32.583377+01:00,Should maybe use,2024-06-16T11:32:32.584658+01:00,Should maybe not use,2024-06-16T11:32:32.58406+01:00,,,,,,,,,,,,,,,I have never been active on a dating app,2024-06-16T11:32:32.580834+01:00,[],2024-06-16T11:32:32.580602+01:00,,2024-06-16T11:32:32.581042+01:00,,2024-06-16T11:32:22.19346+01:00,Learned quickly,2024-06-16T11:32:22.189903+01:00,Learned quickly,2024-06-16T11:32:22.189423+01:00,Learned slowly,2024-06-16T11:32:22.189692+01:00,Learned slowly,2024-06-16T11:32:22.190205+01:00,The recommendations were too varied and inconsistent,2024-06-16T11:32:22.194806+01:00,"Some recommendations were good, and some not so good",2024-06-16T11:32:22.193295+01:00,Focused on suggesting matches closely aligned with your character’s established preferences,2024-06-16T11:32:22.194238+01:00,,,,,,,,,,,,,01J0G9H7A0H80KPKPTZ4R97X9G,2024-06-16T11:32:12.901838+01:00,,,,,,,,,,,,,01J0G9H7AH3167FT7HC9PGJVC9,2024-06-16T11:32:12.901838+01:00,,,01J0G9HGNN0N9K60S9E262AQRT,2024-06-16T11:32:12.901838+01:00,01J0G9HKHZG0K7SNT7AJY5SBZ2,2024-06-16T11:32:12.901838+01:00
01J0GJ3S4Z12REAT31DYMH4HM4,somewhatInfluential,2024-06-16T14:00:05.334443+01:00,somewhatInfluential,2024-06-16T14:00:05.333951+01:00,somewhatInfluential,2024-06-16T14:00:05.336388+01:00,somewhatInfluential,2024-06-16T14:00:05.336722+01:00,somewhatSimilar,2024-06-16T14:00:05.333178+01:00,somewhatSimilar,2024-06-16T14:00:05.332775+01:00,somewhatSimilar,2024-06-16T14:00:05.333726+01:00,somewhatSimilar,2024-06-16T14:00:05.333498+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01J0GJ36DDVXJTSY0BTMJSTVH5,2024-06-16T13:59:47.743073+01:00,No,2024-06-16T13:59:56.196981+01:00,Yes,2024-06-16T13:59:56.197447+01:00,Long,2024-06-16T13:59:56.196398+01:00,Music,2024-06-16T13:59:56.197212+01:00,172,2024-06-16T14:00:05.337257+01:00,,,01J0GJ36DXYRFDX3JF1RYGTTTZ,2024-06-16T13:59:47.743073+01:00,,,01J0GJ3ACZY1R3EVCG4Z8XTKZS,2024-06-16T13:59:47.743073+01:00,01J0GJ3RGXZ9F0RANWJW1B23CG,2024-06-16T13:59:47.743073+01:00
